All_Cores, Core0, Core1, Core2, Core3
8.0, 18, 7, 0, 7
10.0, 20, 20, 0, 0
10.75, 12, 13, 0, 18
5.25, 7, 0, 14, 0
18.0, 23, 21, 7, 21
21.5, 8, 29, 23, 26
6.75, 7, 7, 13, 0
10.0, 21, 6, 13, 0
7.0, 0, 14, 14, 0
8.0, 0, 6, 13, 13
8.5, 13, 7, 7, 7
6.5, 0, 14, 12, 0
6.5, 6, 0, 13, 7
10.75, 17, 13, 13, 0
8.25, 7, 14, 12, 0
12.25, 6, 13, 13, 17
20.0, 15, 25, 26, 14
30.5, 42, 15, 28, 37
11.5, 20, 13, 0, 13
8.0, 6, 13, 13, 0
11.5, 26, 0, 0, 20
8.0, 7, 12, 0, 13
13.25, 20, 13, 7, 13
13.0, 20, 13, 6, 13
11.75, 14, 14, 6, 13
9.75, 13, 0, 13, 13
6.75, 13, 7, 0, 7
8.5, 14, 6, 0, 14
21.0, 26, 18, 25, 15
27.0, 33, 14, 41, 20
11.25, 13, 13, 13, 6
8.5, 20, 7, 0, 7
8.25, 13, 13, 0, 7
12.0, 13, 14, 7, 14
8.5, 13, 0, 14, 7
10.0, 21, 0, 13, 6
6.75, 0, 13, 7, 7
10.0, 0, 20, 20, 0
7.0, 0, 14, 14, 0
4.75, 0, 7, 6, 6
18.0, 15, 7, 21, 29
17.75, 25, 18, 28, 0
11.25, 20, 0, 18, 7
13.0, 13, 6, 20, 13
13.25, 20, 13, 7, 13
8.5, 0, 14, 6, 14
5.0, 7, 13, 0, 0
12.75, 23, 14, 7, 7
5.0, 0, 6, 14, 0
10.0, 21, 13, 6, 0
6.0, 6, 6, 6, 6
8.25, 7, 6, 20, 0
10.25, 21, 0, 0, 20
15.5, 35, 7, 0, 20
7.0, 7, 0, 14, 7
11.5, 14, 12, 7, 13
8.5, 0, 13, 14, 7
8.0, 7, 7, 18, 0
6.5, 6, 14, 6, 0
10.0, 13, 14, 0, 13
8.25, 13, 13, 0, 7
8.5, 0, 14, 7, 13
9.75, 13, 6, 7, 13
5.0, 7, 0, 0, 13
8.25, 0, 0, 20, 13
16.0, 21, 26, 8, 9
8.0, 6, 0, 20, 6
6.75, 14, 0, 7, 6
8.5, 14, 7, 13, 0
5.25, 7, 7, 0, 7
6.5, 6, 7, 0, 13
9.75, 12, 13, 0, 14
11.75, 13, 7, 20, 7
7.0, 0, 0, 14, 14
10.25, 14, 14, 7, 6
9.75, 6, 20, 0, 13
8.25, 13, 0, 13, 7
22.0, 23, 21, 7, 37
11.25, 18, 13, 0, 14
7.75, 18, 7, 0, 6
5.5, 8, 0, 14, 0
6.75, 13, 0, 0, 14
9.5, 13, 0, 25, 0
7.5, 0, 17, 0, 13
10.0, 14, 6, 6, 14
6.75, 7, 6, 7, 7
6.5, 6, 0, 13, 7
5.25, 14, 0, 7, 0
5.0, 0, 6, 7, 7
27.5, 40, 25, 31, 14
11.75, 7, 23, 9, 8
6.75, 0, 7, 13, 7
8.25, 20, 0, 6, 7
5.0, 13, 7, 0, 0
8.5, 21, 0, 13, 0
7.0, 14, 7, 7, 0
8.25, 13, 6, 14, 0
12.0, 20, 14, 7, 7
8.75, 14, 14, 7, 0
6.0, 12, 6, 0, 6
12.75, 25, 13, 0, 13
19.0, 20, 20, 20, 16
20.5, 14, 20, 35, 13
8.25, 0, 6, 20, 7
8.25, 7, 7, 6, 13
13.0, 12, 7, 13, 20
6.75, 0, 14, 6, 7
8.25, 13, 14, 6, 0
7.0, 7, 7, 0, 14
8.5, 13, 0, 14, 7
10.0, 7, 12, 7, 14
9.75, 20, 6, 6, 7
8.0, 13, 0, 6, 13
15.5, 7, 21, 13, 21
25.5, 29, 26, 31, 16
6.25, 6, 6, 13, 0
8.25, 7, 7, 13, 6
8.25, 0, 13, 20, 0
10.0, 14, 7, 13, 6
9.5, 13, 13, 12, 0
6.25, 6, 0, 13, 6
13.0, 12, 0, 20, 20
12.0, 14, 14, 13, 7
8.25, 6, 14, 13, 0
11.5, 6, 18, 15, 7
17.25, 21, 21, 13, 14
25.0, 30, 16, 21, 33
8.25, 6, 12, 8, 7
8.75, 14, 7, 7, 7
8.25, 7, 6, 14, 6
8.25, 7, 7, 6, 13
6.5, 0, 14, 6, 6
8.25, 13, 14, 0, 6
9.75, 13, 13, 0, 13
8.0, 0, 18, 7, 7
8.75, 0, 6, 6, 23
7.0, 0, 0, 14, 14
17.5, 14, 18, 18, 20
11.0, 8, 15, 21, 0
10.25, 7, 13, 14, 7
8.5, 14, 7, 6, 7
8.5, 0, 20, 0, 14
9.5, 13, 6, 13, 6
8.5, 13, 7, 0, 14
5.0, 13, 0, 0, 7
12.75, 18, 13, 7, 13
5.0, 0, 13, 7, 0
8.0, 6, 0, 13, 13
11.25, 20, 6, 13, 6
13.5, 6, 21, 7, 20
17.0, 29, 7, 16, 16
10.25, 18, 0, 0, 23
9.5, 13, 0, 12, 13
9.75, 13, 7, 6, 13
6.75, 14, 0, 13, 0
6.5, 0, 0, 13, 13
10.0, 13, 13, 7, 7
8.5, 0, 6, 14, 14
6.5, 6, 6, 0, 14
10.5, 18, 18, 6, 0
8.25, 6, 7, 0, 20
13.0, 7, 7, 25, 13
22.0, 23, 14, 28, 23
8.75, 7, 14, 7, 7
9.0, 8, 7, 14, 7
6.75, 7, 0, 13, 7
8.0, 13, 13, 6, 0
5.25, 0, 14, 7, 0
6.5, 6, 7, 13, 0
8.0, 13, 0, 13, 6
11.25, 0, 20, 7, 18
8.25, 0, 13, 20, 0
8.25, 7, 6, 14, 6
4.75, 0, 6, 7, 6
21.75, 16, 40, 8, 23
15.75, 21, 15, 20, 7
6.75, 0, 14, 7, 6
9.5, 20, 6, 6, 6
8.25, 7, 0, 12, 14
9.5, 0, 18, 13, 7
8.5, 0, 14, 6, 14
12.0, 20, 14, 7, 7
9.5, 14, 12, 6, 6
6.5, 13, 6, 0, 7
8.25, 13, 13, 0, 7
5.0, 6, 0, 14, 0
15.0, 12, 0, 25, 23
21.25, 21, 40, 16, 8
5.0, 0, 13, 7, 0
10.0, 8, 13, 13, 6
10.0, 0, 13, 13, 14
8.25, 6, 0, 13, 14
10.0, 6, 14, 13, 7
5.75, 0, 8, 8, 7
8.0, 18, 7, 7, 0
8.25, 7, 13, 0, 13
6.75, 7, 6, 0, 14
13.75, 22, 13, 6, 14
18.25, 20, 21, 25, 7
20.75, 20, 28, 14, 21
9.75, 13, 7, 13, 6
10.0, 0, 20, 20, 0
9.25, 12, 13, 0, 12
